phone,brand,configuration,channel,shops_carrying_it,lowest_taka,highest_taka,difference_taka,spread_pct
Apple iPhone 17 Pro Max,Apple,512GB,official,4,231999,289999,58000,25
Apple iPhone 17 Pro,Apple,256GB,official,4,185999,229999,44000,24
Apple iPhone 17,Apple,256GB,official,3,147999,179999,32000,22
OPPO Find X9 Pro,OPPO,16GB/512GB,unofficial,3,102499,131999,29500,29
Samsung Galaxy S26 Ultra,Samsung,12GB/512GB,official,5,199999,228999,29000,15
Samsung Galaxy S25 FE,Samsung,8GB/256GB,official,6,75999,95999,20000,26
Xiaomi 17T,Xiaomi,12GB/256GB,official,6,60999,79999,19000,31
Vivo X300,Vivo,12GB/256GB,unofficial,3,81999,97999,16000,20
Vivo X300 Ultra,Vivo,12GB/256GB,unofficial,3,128999,140999,12000,9
Huawei Nova 15 Max,Huawei,8GB/256GB,official,5,47999,57999,10000,21
Google Pixel 8 Pro,Google,12GB/128GB,official,3,69999,79999,10000,14
Huawei Mate X7,Huawei,16GB/512GB,official,4,239999,249999,10000,4
Vivo Y11d,Vivo,4GB/128GB,official,6,16499,25999,9500,58
Vivo X300 FE,Vivo,12GB/256GB,unofficial,3,81999,91499,9500,12
Samsung Galaxy S26 Plus,Samsung,12GB/256GB,official,4,162999,172499,9500,6
Samsung Galaxy Z Fold 7,Samsung,12GB/256GB,unofficial,3,145499,154999,9500,7
Samsung Galaxy A17 5G,Samsung,8GB/128GB,official,7,33599,42899,9300,28
Vivo Y31d,Vivo,8GB/128GB,official,4,25799,34999,9200,36
Vivo V70 5G,Vivo,8GB/256GB,official,7,65549,72999,7450,11
Samsung Galaxy S26,Samsung,12GB/256GB,official,5,122999,130299,7300,6
OPPO A6 4G,OPPO,6GB/128GB,official,5,22499,28999,6500,29
Google Pixel 7 Pro,Google,12GB/128GB,official,3,53499,59999,6500,12
Samsung Galaxy S25 Ultra,Samsung,12GB/256GB,unofficial,3,94499,100999,6500,7
Vivo Y05,Vivo,4GB/128GB,official,5,14699,20999,6300,43
Honor Magic V5,Honor,16GB/512GB,unofficial,3,156999,162990,5991,4
Vivo Y500,Vivo,6GB/256GB,official,4,41799,46999,5200,12
Redmi Note 15 5G,Redmi,8GB/256GB,unofficial,3,27990,32999,5009,18
Honor X9d,Honor,12GB/256GB,official,6,41999,46999,5000,12
Redmi Note 15 Pro Plus 5G,Redmi,8GB/256GB,unofficial,3,42499,47499,5000,12
Honor 400,Honor,12GB/512GB,official,5,54999,59999,5000,9
Honor 600,Honor,8GB/256GB,official,5,59999,64999,5000,8
Honor 400 Pro,Honor,12GB/512GB,official,5,74999,79999,5000,7
Tecno Camon 50,Tecno,8GB/128GB,official,4,30499,34999,4500,15
Samsung Galaxy A56 5G,Samsung,8GB/256GB,official,3,52499,56999,4500,9
Samsung Galaxy A57 5G,Samsung,8GB/256GB,official,7,66999,71499,4500,7
Honor X5c Plus,Honor,4GB/128GB,official,6,14299,18499,4200,29
Realme 15 Pro 5G,Realme,12GB/256GB,official,7,55899,59999,4100,7
Google Pixel 7,Google,8GB/128GB,official,3,45999,49999,4000,9
Xiaomi 17 Pro Max,Xiaomi,12GB/512GB,unofficial,3,114999,118999,4000,3
OPPO Reno 14 5G,OPPO,12GB/256GB,official,5,56299,59999,3700,7
Redmi A7,Redmi,3GB/64GB,official,6,13499,16999,3500,26
OPPO A6k,OPPO,4GB/128GB,official,5,20999,23999,3000,14
Honor X7d,Honor,8GB/128GB,official,6,22999,25999,3000,13
Tecno POVA Curve 2 5G,Tecno,8GB/256GB,official,3,36999,39999,3000,8
Vivo V70 FE 5G,Vivo,8GB/256GB,official,7,53999,56999,3000,6
Infinix Note 60 Pro,Infinix,8GB/256GB,official,4,46999,49999,3000,6
iQOO Neo 11,iQOO,12GB/256GB,unofficial,3,60499,63499,3000,5
Realme 14 5G,Realme,12GB/256GB,official,4,39099,41999,2900,7
Infinix Note Edge,Infinix,8GB/128GB,official,4,28299,30999,2700,10
Realme 15 5G,Realme,12GB/256GB,official,4,42299,44999,2700,6
Realme C100i,Realme,4GB/128GB,official,6,18499,20999,2500,14
OPPO A6x,OPPO,4GB/64GB,official,7,17499,19999,2500,14
OPPO A6c,OPPO,4GB/64GB,official,5,17499,19999,2500,14
Honor X6c,Honor,6GB/128GB,official,6,19499,21999,2500,13
Vivo V60 Lite 5G,Vivo,12GB/256GB,official,3,41499,43999,2500,6
OnePlus Nord 6,OnePlus,8GB/256GB,unofficial,3,56499,58999,2500,4
Vivo S50 Pro Mini,Vivo,12GB/256GB,unofficial,3,61999,64499,2500,4
Honor 600 Pro,Honor,12GB/256GB,official,4,97499,99999,2500,3
Motorola Edge 60 Fusion,Motorola,8GB/128GB,unofficial,3,32999,35299,2300,7
Redmi Note 15 4G,Redmi,8GB/256GB,official,3,30799,32999,2200,7
Samsung Galaxy A26 5G,Samsung,8GB/128GB,official,3,37499,39599,2100,6
Honor X6d,Honor,4GB/128GB,official,4,17999,19999,2000,11
Redmi 15C 4G,Redmi,4GB/128GB,unofficial,3,17499,19499,2000,11
Honor X8d,Honor,8GB/256GB,official,4,35999,37999,2000,6
Vivo V60 Lite 4G,Vivo,8GB/256GB,official,4,32999,34999,2000,6
Samsung Galaxy A36 5G,Samsung,8GB/128GB,official,4,44499,46499,2000,4
Samsung Galaxy A37 5G,Samsung,8GB/128GB,official,7,51999,53999,2000,4
OPPO A6s Pro,OPPO,8GB/256GB,official,5,37990,39990,2000,5
iQOO Z10 Turbo Plus,iQOO,12GB/256GB,unofficial,3,48999,50999,2000,4
iQOO Z11 Turbo,iQOO,12GB/256GB,unofficial,3,57499,59499,2000,3
Samsung Galaxy S25,Samsung,12GB/256GB,unofficial,3,76499,78499,2000,3
Huawei Mate 80 Pro,Huawei,16GB/512GB,official,4,137999,139999,2000,1
Honor X5c,Honor,4GB/64GB,official,6,15100,16999,1899,13
Samsung Galaxy A07 4G,Samsung,6GB/128GB,official,5,26999,28799,1800,7
Redmi 17,Redmi,4GB/128GB,official,6,21299,22999,1700,8
Redmi Turbo 5 Max,Redmi,12GB/256GB,unofficial,3,49490,50999,1509,3
Redmi A7 Pro,Redmi,4GB/64GB,official,5,15499,16999,1500,10
Huawei Nova Y74,Huawei,8GB/256GB,official,4,28499,29999,1500,5
Honor X9c,Honor,12GB/256GB,official,3,38499,39999,1500,4
Redmi Turbo 4,Redmi,12GB/256GB,unofficial,3,37499,38999,1500,4
Realme GT7 Pro,Realme,12GB/256GB,unofficial,3,70999,72499,1500,2
Infinix Smart 20,Infinix,4GB/64GB,official,4,14599,15999,1400,10
Realme C100x,Realme,4GB/128GB,official,7,20599,21999,1400,7
Redmi 15 4G,Redmi,6GB/128GB,official,3,21399,22799,1400,7
Vivo Y21d,Vivo,6GB/128GB,official,5,25899,26999,1100,4
Samsung Galaxy M06 5G,Samsung,6GB/128GB,official,3,26499,27499,1000,4
Realme C85 Pro,Realme,8GB/128GB,official,5,26999,27999,1000,4
Honor 200,Honor,12GB/512GB,unofficial,3,40499,41499,1000,2
Redmi K90,Redmi,12GB/256GB,unofficial,3,56499,57499,1000,2
Honor Magic 8 Pro,Honor,12GB/512GB,unofficial,3,115999,116999,1000,1
iQOO Z10x,iQOO,8GB/128GB,unofficial,3,25580,26499,919,4
Samsung Galaxy A06 4G,Samsung,6GB/128GB,official,3,17399,18099,700,4
Infinix Hot 70,Infinix,4GB/128GB,official,3,20299,20999,700,3
Tecno Spark 50 4G,Tecno,6GB/128GB,official,4,21299,21999,700,3
